編號,分類,常見問題,建議標準答案,關鍵字
1,01 訂房與空房,請問還有空房嗎？,可以的，請提供入住日期、退房日期、入住總人數、是否包棟、是否攜帶寵物與車輛數，我們會幫您確認房況與報價。,空房
2,01 訂房與空房,我要怎麼訂房？,可先透過官網線上預約、官方 LINE 或電話提出需求；送出後會由管家確認日期、人數、包棟或房型、寵物與付款資訊。完成管家確認與付款程序後，才算正式保留。,訂房
3,01 訂房與空房,線上訂房後還需要再跟民宿確認嗎？,需要。官網送出預約後屬於預約申請，管家會再確認房況、入住人數、住宿方式與付款資訊；收到正式確認後，才代表訂房成立。,訂房
4,01 訂房與空房,訂房需要先付訂金嗎？,通常會依管家確認後的付款說明收取訂金或預付款來保留日期；實際金額、付款期限與尾款方式，會在正式確認訊息中清楚告知。,訂房、訂金
5,01 訂房與空房,訂房後多久內要匯款？,請依管家提供的付款期限完成匯款或付款；若超過期限仍未完成，日期可能無法繼續保留。若需要延後付款，請先與管家確認。,訂房
6,01 訂房與空房,我可以先口頭保留房間嗎？,可先暫記需求，但房間通常以完成訂金或付款者優先保留；熱門日期建議盡快確認。,我可以先口頭保留
7,01 訂房與空房,可以現場看房再訂嗎？,目前不開放臨時現場看房，以保護住客隱私與維持清潔作業。若有合作、拍攝或特殊需求，請先透過官方 LINE 預約並由管家確認可行時段。,可以現場看房再訂
8,01 訂房與空房,可以指定房間嗎？,可以提出偏好的房型、房號或樓層，管家會依當日房況、清潔安排與入住需求盡量協助，但無法保證一定指定成功。,可以指定房間嗎
9,01 訂房與空房,可以指定樓層嗎？,可以提出樓層偏好，若有長輩、幼兒或行動需求也請一併告知；實際安排仍需依房況與安全動線由管家確認。,可以指定樓層嗎
10,01 訂房與空房,可以訂同一天多間房嗎？,可以。同一天可依房況安排多間房或包棟；慢慢蒔光主要以包棟 villa 為主，若淡季開放單間客房，會依當期開放規則與人工確認為準。,可以訂同一天多間
11,01 訂房與空房,可以包棟嗎？,可以，慢慢蒔光主要以包棟 villa 為主，適合親友、家庭與團體一起入住。請提供入住日期、退房日期、總人數、寵物與特殊需求，管家會協助確認房況與報價。,包棟
12,01 訂房與空房,包棟會有其他客人嗎？,包棟期間不會安排其他陌生旅客入住，主要公共空間可由同一組客人使用；實際可使用範圍仍依包棟方案與入住說明為準。,包棟
13,01 訂房與空房,可以只訂部分房間不包棟嗎？,可以先詢問。慢慢蒔光主要以包棟為主，淡季或特定日期若開放單間客房，會依當期房況與後台設定人工確認；請提供日期、人數與需要房數。,包棟
14,01 訂房與空房,平日和假日怎麼分？,平日、假日、連假與春節定義以民宿房價表為準；特殊節日可能採不同價格、付款與取消規則。,平日和假日怎麼分
15,01 訂房與空房,春節或連假可以訂嗎？,平日、假日、連假與春節定義以民宿房價表為準；特殊節日可能採不同價格、付款與取消規則。,春節或連假可以訂
16,01 訂房與空房,可以候補嗎？,可以留下日期、人數與聯絡方式；若有房況釋出，我們會依候補順序通知。,可以候補嗎
