priority,faq_id,category,question,current_answer,risk_type,audit_reason,suggested_status,suggested_answer_mode,suggested_action,owner_note
P0,faq-004,訂房與空房,訂房需要先付訂金嗎？,通常會依管家確認後的付款說明收取訂金或預付款來保留日期；實際金額、付款期限與尾款方式，會在正式確認訊息中清楚告知。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-005,訂房與空房,訂房後多久內要匯款？,請依管家提供的付款期限完成匯款或付款；若超過期限仍未完成，日期可能無法繼續保留。若需要延後付款，請先與管家確認。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-018,訂房與空房,官網、平台和LINE價格一樣嗎？,不同通路可能因平台費用、活動或付款條件而有差異，以實際下訂頁面或民宿正式回覆報價為準。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-026,房價與付款,房價是多少？,房價會依日期、平假日、連假、入住人數與方案不同而調整；請提供日期與人數，我們會回覆最準確報價。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-027,房價與付款,包棟價格怎麼算？,房價會依日期、平假日、連假、入住人數與方案不同而調整；請提供日期與人數，我們會回覆最準確報價。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-028,房價與付款,價格包含哪些費用？,房價會依日期、平假日、連假、入住人數與方案不同而調整；請提供日期與人數，我們會回覆最準確報價。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-029,房價與付款,有另外收清潔費嗎？,一般正常清潔多已包含於報價；若有寵物、嚴重髒污、嘔吐、煙味或設備損壞，可能依規定另收費。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-030,房價與付款,小孩也算人數嗎？,兒童或嬰兒是否計費會依年齡、身高、是否佔床與民宿規定判斷；請提供孩子年齡方便確認。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-031,房價與付款,嬰兒需要收費嗎？,兒童或嬰兒是否計費會依年齡、身高、是否佔床與民宿規定判斷；請提供孩子年齡方便確認。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
P0,faq-032,房價與付款,加人怎麼收費？,超過基本人數或需加床時，會依每人每晚或每床規則加收費用，並提供相應寢具與備品。,price_refund_privacy_safety_or_policy,價格、退款、押金、付款、發票、個資、安全或客服承諾類題目不宜直接核准為 direct,needs_review,ask_human,人工確認正確答案；必要時改 status=needs_review 並改 answer_mode=collect_info 或 ask_human,
