id,category,question,aliases,answer,keywords,answer_mode,status,priority,last_verified_at,internal_note,
faq-001,訂房與空房,請問還有空房嗎？,這天還有房嗎｜請問有空房嗎｜這個日期可以訂嗎｜還有房間嗎｜想查房況,請提供入住日期、退房日期、入住總人數、住宿方式（包棟或單間）、需要房數、是否攜帶寵物與車輛數，管家會協助確認最新房況與報價。,空房｜房況｜可訂日期｜查房,collect_info,approved,80,,需查詢即時房況，不可直接回答「有房」。,可至官網訂房系統查詢，如需管家協助可Line或電話連繫
faq-002,訂房與空房,我要怎麼訂房？,怎麼訂房｜我要預約｜要去哪裡下訂｜訂房流程是什麼｜可以用LINE訂嗎,可透過官網線上預約、官方 LINE 或電話提出需求。送出後會由管家確認日期、人數、住宿方式、寵物與付款資訊；完成指定付款並收到正式確認後，才算訂房成立。,訂房｜預約｜下訂｜官網預約｜訂房流程,direct,approved,80,,預約申請不等於訂房成立，需完成付款並收到正式確認。,"可透過官網訂房系統、官方 LINE 或電話直接預訂並完成入住，每筆訂單即贈「慢寶精美小禮」一份！

※ Booking.com 等第三方平台訂房不適用此活動。"
faq-003,訂房與空房,線上訂房後還需要再跟民宿確認嗎？,送出預約就算成功嗎｜線上預約後還要確認嗎｜預約申請等於訂房嗎｜官網送出後有保留嗎,需要。官網送出的是預約申請，不代表訂房已成立；管家會再確認房況、入住人數、住宿方式與付款資訊，收到正式確認後才算完成訂房。,線上訂房｜預約申請｜訂房確認｜訂房成立,direct,approved,80,,避免讓客人誤以為送出表單即完成訂房。,完成訂金支付即代表訂房成功！ 如有任何入住需求或問題，我們將主動與您聯繫。
faq-004,訂房與空房,訂房需要先付訂金嗎？,需要先付訂金嗎｜要先匯款嗎｜訂房要先付款嗎｜訂金多少｜可以現場再付嗎,是否需要支付訂金、訂金金額與付款期限，會由管家依入住日期及訂房方案確認後通知。完成指定付款並收到正式確認後，日期才會正式保留。請提供入住日期與人數，管家會說明付款方式。,訂金｜預付款｜先付款｜匯款｜保留日期,collect_info,approved,80,,目前沒有固定訂金金額，不可自行報價。,訂房以完成訂金支付為準，未付訂金者恕不予以保留。
faq-005,訂房與空房,訂房後多久內要匯款？,多久要匯款｜付款期限多久｜幾天內要付款｜超過期限怎麼辦｜可以晚點付款嗎,付款期限會標示在管家發出的付款通知中，每筆訂房可能不同。若超過期限仍未完成，日期可能無法繼續保留；需要延後付款時，請在期限前先與管家確認。,匯款期限｜付款期限｜付款逾期｜延後付款｜保留日期,direct,approved,80,,付款期限依個別通知，不可承諾固定天數。,我們以「先付訂金」的客人優先保留喔！ 只要先完成匯款，訂房就正式成功了。
faq-006,訂房與空房,我可以先口頭保留房間嗎？,可以先保留嗎｜還沒付款可以保留嗎｜可以口頭卡房嗎｜先幫我留日期｜能暫時保留房間嗎,可以先留下需求，但在完成管家確認與指定付款前，不代表訂房成立，也無法保證保留日期。房況仍以完成確認與付款程序者為準。,口頭保留｜暫時保留｜先保留｜卡房｜未付款,direct,approved,80,,可登記需求，但不可承諾保留。,不好意思，民宿無法口頭保留喔！誰先完成訂金匯款，預訂就是誰的～
faq-007,訂房與空房,可以現場看房再訂嗎？,可以先去看房嗎｜可以參觀房間嗎｜能現場看過再決定嗎｜可以預約看房嗎,目前不開放臨時到場看房，以保護住客隱私並維持清潔與營運作業。若有合作、拍攝或其他特殊需求，請先透過官方 LINE 預約，經管家確認後再安排。,看房｜現場看房｜參觀房間｜預約參觀,direct,approved,80,,不接受臨時到場，特殊需求須預約。,"為維護住客隱私與品質，目前不開放現場看房喔！
若有合作或拍攝需求，歡迎先透過官方 LINE 聯繫預約。"
faq-008,訂房與空房,可以指定房間嗎？,可以選房嗎｜能指定房號嗎｜可以選主題房嗎｜想住某一間可以嗎｜可以指定房型嗎,包棟方案固定包含整棟 5 間主題房；可以提出希望入住的房型或房號，管家會依人數、床型與安排需求協助分配。若淡季有開放單間客房，也可提出指定需求，但無法保證一定指定成功。,指定房間｜指定房號｜選房｜主題房｜房型偏好,direct,approved,80,,包棟包含5間；單間客房僅限後台開放期間。,可以的！請直接依線上訂房系統為主，您訂哪一間，入住就是那一間喔！
faq-009,訂房與空房,可以指定樓層嗎？,可以選樓層嗎｜想住一樓可以嗎｜可以安排低樓層嗎｜長輩可以住一樓嗎｜能指定二樓嗎,可以提出樓層偏好；若有長輩、幼兒或行動不便需求，請一併告知。包棟會使用不同樓層的房間；若淡季開放單間客房，則會依房況與安全動線安排，但無法保證指定成功。,指定樓層｜一樓房｜低樓層｜長輩｜行動不便,collect_info,approved,80,,需收集長輩、幼兒或行動需求後再安排。,可以的！請依線上訂房系統為主，官網上都有各房間的樓層說明喔！
faq-010,訂房與空房,可以訂同一天多間房嗎？,可以一次訂兩間嗎｜同一天能訂多間嗎｜想訂三間房｜可以訂多個房間嗎｜多間房怎麼訂,可以。包棟方案固定包含 5 間主題房；若淡季有開放單間客房，也可一次申請多間。請提供入住日期、需要房數與入住人數，由管家確認當期開放方式與可訂房數。,多間房｜同一天訂房｜訂兩間｜訂三間｜需要房數,collect_info,approved,80,,單間客房需確認後台是否開放；包棟固定5間。,"可以的！不過我們平時主要以「包棟」為主～
如果該日期有開放「單獨訂房」，線上系統就會顯示剩餘房型，您就可以直接預訂多間喔！"
